"Country,
Other","Deaths in
1M pop","Total
Tests","Tests in
1M pop",Population
USA,"3,239","1,118,158,870","3,339,729","334,805,269"
India,376,"894,416,853","635,857","1,406,631,776"
France,"2,365","271,490,188","4,139,547","65,584,518"
Brazil,"3,186","63,776,166","296,146","215,353,593"
Germany,"1,788","122,332,384","1,458,359","83,883,596"
S. Korea,553,"15,804,065","307,892","51,329,899"
UK,"2,773","522,526,476","7,628,357","68,497,907"
Italy,"2,938","246,636,495","4,092,684","60,262,770"
Japan,356,"76,201,407","606,772","125,584,838"
Russia,"2,655","273,400,000","1,875,095","145,805,947"
Turkey,"1,182","162,743,369","1,902,052","85,561,976"
Spain,"2,442","471,036,328","10,082,298","46,719,142"
Vietnam,436,"85,826,548","867,342","98,953,541"
Australia,575,"78,835,048","3,024,116","26,068,792"
Argentina,"2,823","35,716,069","776,264","46,010,234"
Netherlands,"1,316","21,107,399","1,226,358","17,211,447"
Iran,"1,679","54,095,556","628,851","86,022,837"
Mexico,"2,509","18,393,211","139,806","131,562,772"
Indonesia,566,"108,656,989","389,264","279,134,505"
Taiwan,461,"25,998,416","1,088,319","23,888,595"
Colombia,"2,753","36,572,720","709,974","51,512,762"
Poland,"3,114","37,335,609","989,290","37,739,785"
Portugal,"2,468","44,988,307","4,436,467","10,140,570"
Ukraine,"2,528","19,521,252","451,963","43,192,122"
Austria,"2,287","197,543,761","21,787,811","9,066,710"
Greece,"3,209","94,139,966","9,125,063","10,316,637"
Malaysia,"1,096","64,604,259","1,947,021","33,181,072"
DPRK,3,,,"25,990,679"
Thailand,468,"17,270,775","246,450","70,078,203"
Israel,"1,254","41,373,364","4,436,346","9,326,000"
Chile,"3,176","45,128,974","2,344,339","19,250,195"
Belgium,"2,799","35,555,508","3,047,194","11,668,278"
Canada,"1,172","64,928,884","1,691,366","38,388,419"
Peru,"6,429","35,126,382","1,042,815","33,684,208"
Czechia,"3,824","56,212,735","5,235,528","10,736,784"
Switzerland,"1,617","22,318,542","2,543,819","8,773,637"
South Africa,"1,682","26,174,429","430,811","60,756,135"
Philippines,559,"32,796,350","291,500","112,508,994"
Romania,"3,521","25,094,131","1,318,569","19,031,335"
Denmark,"1,211","128,397,719","22,004,939","5,834,950"
Sweden,"1,976","18,965,590","1,855,920","10,218,971"
Iraq,601,"19,239,264","456,286","42,164,965"
Serbia,"1,965","11,030,499","1,274,758","8,653,016"
Hungary,"4,945","11,394,556","1,186,160","9,606,259"
Bangladesh,175,"14,872,260","88,586","167,885,689"
Singapore,272,"24,345,019","4,096,043","5,943,546"
Slovakia,"3,746","7,298,163","1,336,613","5,460,193"
Georgia,"4,258","16,920,079","4,263,340","3,968,738"
New Zealand,604,"7,544,063","1,540,170","4,898,203"
Hong Kong,"1,335","54,352,132","7,147,553","7,604,299"
Jordan,"1,371","17,201,885","1,669,945","10,300,869"
Ireland,"1,575","12,708,583","2,531,490","5,020,199"
Pakistan,133,"30,477,451","132,806","229,488,994"
Norway,744,"11,002,430","1,996,315","5,511,370"
Kazakhstan,713,"11,575,012","602,707","19,205,043"
Finland,"1,077","11,505,032","2,071,128","5,554,960"
Morocco,431,"12,577,650","332,982","37,772,756"
Bulgaria,"5,510","10,559,171","1,542,702","6,844,597"
Lithuania,"3,502","10,174,473","3,822,535","2,661,708"
Croatia,"4,164","5,225,875","1,287,388","4,059,286"
Lebanon,"1,597","4,795,578","717,380","6,684,849"
Slovenia,"3,282","2,743,244","1,320,115","2,078,034"
Tunisia,"2,428","4,948,208","410,754","12,046,656"
Guatemala,"1,065","5,884,813","316,660","18,584,039"
Cuba,754,"14,149,157","1,251,512","11,305,652"
Bolivia,"1,854","2,705,422","225,590","11,992,656"
Costa Rica,"1,720","4,659,757","899,158","5,182,354"
UAE,233,"190,586,733","18,904,066","10,081,785"
Ecuador,"1,982","3,082,403","170,173","18,113,361"
Nepal,398,"5,936,702","196,413","30,225,582"
Belarus,755,"13,646,641","1,446,722","9,432,800"
Panama,"1,911","7,062,027","1,588,056","4,446,964"
Uruguay,"2,141","6,114,822","1,749,083","3,496,016"
Mongolia,645,"4,030,048","1,193,000","3,378,078"
Latvia,"3,240","7,650,009","4,137,741","1,848,837"
Azerbaijan,962,"7,245,111","703,395","10,300,205"
Saudi Arabia,261,"44,321,147","1,236,470","35,844,909"
Paraguay,"2,680","2,657,506","363,751","7,305,843"
